"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Test001","SUCCESS","2023-06-04T17:04:39.439+01:00[Europe/London]","0.0","9.83"
"Products CRUD test","Verify if the product was created to the store","SUCCESS","2023-06-04T17:04:49.543+01:00[Europe/London]","0.0","0.16"
"Products CRUD test","Update the product information and verify the updated product","SUCCESS","2023-06-04T17:04:49.705+01:00[Europe/London]","0.0","0.22"
"Products CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2023-06-04T17:04:49.928+01:00[Europe/London]","0.0","0.05"
"Stores CURD test","Create store","SUCCESS","2023-06-04T17:04:52.654+01:00[Europe/London]","0.0","0.15"
"Stores CURD test","Verify if the Store was created to the store","SUCCESS","2023-06-04T17:04:52.808+01:00[Europe/London]","0.0","0.04"
"Stores CURD test","Update the store information and verify the updated store","SUCCESS","2023-06-04T17:04:52.847+01:00[Europe/London]","0.0","0.09"
"Stores CURD test","Delete the store and verify if the store is deleted","SUCCESS","2023-06-04T17:04:52.946+01:00[Europe/London]","0.0","0.1"
