"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CURD test","Create store","SUCCESS","2023-06-04T17:04:52.654+01:00[Europe/London]","0.0","0.15"
"Stores CURD test","Verify if the Store was created to the store","SUCCESS","2023-06-04T17:04:52.808+01:00[Europe/London]","0.0","0.04"
"Stores CURD test","Update the store information and verify the updated store","SUCCESS","2023-06-04T17:04:52.847+01:00[Europe/London]","0.0","0.09"
"Stores CURD test","Delete the store and verify if the store is deleted","SUCCESS","2023-06-04T17:04:52.946+01:00[Europe/London]","0.0","0.1"
